scenario,unit,p,q,propensity,weight,ge_0,ge_1,gu_0,gu_1
aligned,0,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,-0.8999999999999999,-1.1,0.85,0.1
aligned,1,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,-0.8999999999999999,-0.29999999999999993,0.85,0.4
aligned,2,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,1.5,-1.1,1.15,0.1
aligned,3,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,1.5,-0.29999999999999993,1.15,0.4
aligned,4,0.125,0.225,0.9,0.5555555555555556,0.5,0.29999999999999993,0.85,0.1
aligned,5,0.125,0.225,0.9,0.5555555555555556,0.5,1.1,0.85,0.4
aligned,6,0.125,0.225,0.9,0.5555555555555556,2.9,0.29999999999999993,1.15,0.1
aligned,7,0.125,0.225,0.9,0.5555555555555556,2.9,1.1,1.15,0.4
untouched_selected,0,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,0.85,0.1,-0.29999999999999993,-0.4
untouched_selected,1,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,0.85,0.30000000000000004,-0.29999999999999993,-0.19999999999999998
untouched_selected,2,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,1.15,0.1,-0.09999999999999995,-0.4
untouched_selected,3,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,1.15,0.30000000000000004,-0.09999999999999995,-0.19999999999999998
untouched_selected,4,0.125,0.225,0.9,0.5555555555555556,0.85,0.1,2.1,0.19999999999999998
untouched_selected,5,0.125,0.225,0.9,0.5555555555555556,0.85,0.30000000000000004,2.1,0.4
untouched_selected,6,0.125,0.225,0.9,0.5555555555555556,1.15,0.1,2.3000000000000003,0.19999999999999998
untouched_selected,7,0.125,0.225,0.9,0.5555555555555556,1.15,0.30000000000000004,2.3000000000000003,0.4
opposing,0,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,-0.8999999999999999,-1.1,-2.0,0.25
opposing,1,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,-0.8999999999999999,-0.29999999999999993,-2.0,0.25
opposing,2,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,1.5,-1.1,-2.0,0.25
opposing,3,0.125,0.024999999999999994,0.09999999999999998,5.000000000000001,1.5,-0.29999999999999993,-2.0,0.25
opposing,4,0.125,0.225,0.9,0.5555555555555556,0.5,0.29999999999999993,-2.0,0.25
opposing,5,0.125,0.225,0.9,0.5555555555555556,0.5,1.1,-2.0,0.25
opposing,6,0.125,0.225,0.9,0.5555555555555556,2.9,0.29999999999999993,-2.0,0.25
opposing,7,0.125,0.225,0.9,0.5555555555555556,2.9,1.1,-2.0,0.25
