group_id,instance_id,budget,method,successes,target_gradient_norm,expected_label_reveals,full_group_probability,coefficient_mse,gradient_mse,coefficient_bias_sq,gradient_bias_sq
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,whole_group_cv,0,0.0,2.0,0.25,2.063660669198913,9.097012749540611e-05,1.7333369499485123e-33,1.1807585115373e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,rr_fixed,0,0.0,1.9999999999999996,0.09198423127463862,1.4631492430647486,7.373393512544204e-05,3.144870566415915e-33,2.8540997886619597e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,rr_model_coefficient,0,0.0,2.0,0.0440298541708729,1.2111045050582456,5.660579920943636e-05,6.505353245395531e-33,1.9557890092243364e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,rr_model_gradient,0,0.0,1.9999999999999998,0.0667499050870479,1.4103966350542145,6.242798475719025e-05,6.900104819552795e-33,3.337878033472495e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,full,0,0.0,8,1,0.0,0.0,0.0,0.0
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,proxy_completion,0,0.0,0,0,0.687886889732971,3.0323375831802034e-05,0.687886889732971,3.0323375831802034e-05
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,ht_then_normalize,0,0.0,2.0,1.52587890625e-05,8.0,0.00048644209209575085,3.2224075393542595,2.885221509797513e-05
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.25,partial_then_normalize,0,0.0,2.0,1.52587890625e-05,7.9998779296875,0.0007520727229107858,5.660263209842041,0.0005889520753491576
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.5,whole_group_cv,0,0.0,4.0,0.5,0.6878868897329709,3.0323375831802034e-05,1.7333369499485123e-33,1.1807585115373e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.5,rr_fixed,0,0.0,3.999999999999999,0.21829521829521825,0.35260745876582833,1.7757867930560206e-05,5.191171132327353e-33,2.5603779876534686e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.5,rr_model_coefficient,0,0.0,4.0,0.0880597083417458,0.2616088076626374,1.314121168881716e-05,2.556454093908772e-33,8.929816016450595e-38
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.5,rr_model_gradient,0,0.0,3.9999999999999996,0.1334998101740958,0.3612548726606219,1.6052304462694105e-05,6.17379037006672e-33,5.285303539502874e-37
cced5328a62a2882f8977a76,Project-MONAI__MONAI-3205,0.5,full,0,0.0,8,1,0.0,0.0,0.0,0.0
