path,seed,incumbent_accuracy,updated_accuracy,scalar_accuracy,layer_accuracy,chosen_policy,chosen_coeff0,chosen_coeff1,chosen_accuracy,chosen_worst_slice_difference,minimum_certification_lower_bound,gate_passed
Selective,1701,0.95,0.7361111111111112,0.95,0.9555555555555556,layer,0.1,0.0,0.9555555555555556,0.0,-0.47860864766058486,False
Selective,1702,0.9527777777777777,0.7138888888888889,0.9555555555555556,0.9527777777777777,scalar,0.025,0.025,0.9555555555555556,0.0,-0.4137447296896268,False
Selective,1703,0.9361111111111111,0.7111111111111111,0.9361111111111111,0.9361111111111111,scalar,0.06666666666666667,0.06666666666666667,0.9361111111111111,-0.02857142857142858,-0.4491968829547025,False
Selective,1704,0.9444444444444444,0.7611111111111111,0.9472222222222222,0.9416666666666667,layer,0.1,0.0,0.9416666666666667,-0.05555555555555558,-0.5080204123664672,False
Selective,1705,0.9555555555555556,0.7277777777777777,0.9583333333333334,0.9555555555555556,scalar,0.11666666666666667,0.11666666666666667,0.9583333333333334,-0.11428571428571421,-0.5374321770723496,False
Balanced,1701,0.95,0.9611111111111111,0.9583333333333334,0.9472222222222222,layer,0.0,1.0,0.9472222222222222,-0.02857142857142858,-0.41978511824882014,False
Balanced,1702,0.9527777777777777,0.9666666666666667,0.9666666666666667,0.9666666666666667,scalar,0.9166666666666666,0.9166666666666666,0.9666666666666667,0.0,-0.4357355828912472,False
Balanced,1703,0.9361111111111111,0.9472222222222222,0.9416666666666667,0.9416666666666667,scalar,0.5916666666666667,0.5916666666666667,0.9416666666666667,0.0,-0.4079578051134694,False
Balanced,1704,0.9444444444444444,0.95,0.95,0.95,layer,0.4,0.8,0.95,-0.02777777777777768,-0.47860864766058486,False
Balanced,1705,0.9555555555555556,0.9722222222222222,0.9666666666666667,0.9666666666666667,layer,0.9,0.4,0.9666666666666667,0.0,-0.41978511824882014,False
