scenario,bias_sd,assumed_beta,audit_cost,budget,policy,reps,regret_mean,regret_mcse,regret_lo,regret_hi,overlap_mean,overlap_mcse,overlap_lo,overlap_hi,mse_mean,mse_mcse,mse_lo,mse_hi,coverage_mean,coverage_mcse,coverage_lo,coverage_hi,spent_mean,spent_mcse,spent_lo,spent_hi,validation_fraction_mean,validation_fraction_mcse,validation_fraction_lo,validation_fraction_hi,regular_packets_mean,regular_packets_mcse,regular_packets_lo,regular_packets_hi,validation_packets_mean,validation_packets_mcse,validation_packets_lo,validation_packets_hi,posterior_sd_mean,posterior_sd_mcse,posterior_sd_lo,posterior_sd_hi,repeat_floor_mean,repeat_floor_mcse,repeat_floor_lo,repeat_floor_hi,regret_diff_uniform_mean,regret_diff_uniform_mcse,regret_diff_uniform_lo,regret_diff_uniform_hi,overlap_diff_uniform_mean,overlap_diff_uniform_mcse,overlap_diff_uniform_lo,overlap_diff_uniform_hi,regret_diff_ordinary_kg_mean,regret_diff_ordinary_kg_mcse,regret_diff_ordinary_kg_lo,regret_diff_ordinary_kg_hi,overlap_diff_ordinary_kg_mean,overlap_diff_ordinary_kg_mcse,overlap_diff_ordinary_kg_lo,overlap_diff_ordinary_kg_hi
underestimated_bias,0.7,0.15,5,120,uniform,2000,0.26369377657119103,0.0022708961115255858,0.25924282019260086,0.2681447329497812,0.370125,0.003481260802624236,0.36330172882685646,0.3769482711731435,0.19192674502121276,0.0009646443106838122,0.1900360421722725,0.19381744787015304,0.7165,0.0015791997770921778,0.7134047684368994,0.7195952315631007,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.24018232415472238,2.4728208818587006e-05,0.24013385686543795,0.2402307914440068,0.019008620689655177,2.3600691109793064e-20,0.019008620689655177,0.019008620689655177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105715837368515,0.0015344835563350235,0.0075639959664348545,0.013579171507268147,-0.011125,0.0023937511796038717,-0.015816752312023587,-0.0064332476879764115
underestimated_bias,0.7,0.15,5,120,uniform_blind,2000,0.2635469774986341,0.002267302157315665,0.25910306527029536,0.2679908897269728,0.3700625,0.0034682821810687143,0.36326466692510534,0.3768603330748947,0.2249410225528996,0.0011385992539068887,0.2227093680152421,0.2271726770905571,0.6480125,0.001657329793039529,0.6447641336056426,0.6512608663943574,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.2240899464245765,2.7110905822229646e-05,0.22403680904916493,0.22414308379998807,0.0,0.0,0.0,0.0,-0.0001467990725569421,0.0003552876944903363,-0.0008431629537580012,0.000549564808644117,-6.25e-05,0.0005267642139929133,-0.00109495785942611,0.00096995785942611,0.01042478466429456,0.0015490660591093994,0.007388615188440137,0.013460954140148983,-0.0111875,0.0024139287889194216,-0.015918800426282066,-0.0064561995737179335
underestimated_bias,0.7,0.15,5,120,uncertainty,2000,0.2600822742065774,0.002260957422355356,0.2556507976587609,0.26451375075439393,0.37275,0.003504976630534118,0.3658802458041532,0.37961975419584687,0.19707222807260555,0.0009810914203621927,0.19514928888869565,0.19899516725651545,0.70005,0.0016429123014985332,0.6968298918890629,0.703270108110937,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.23504275789569806,2.4831550196201783e-18,0.23504275789569806,0.23504275789569806,0.019008620689655177,0.0,0.019008620689655177,0.019008620689655177,-0.0036115023646136083,0.001351879196763076,-0.006261185590269237,-0.0009618191389579797,0.002625,0.002135728296197245,-0.0015610274605466,0.0068110274605466,0.006960081372237894,0.00141803254173627,0.004180737590434805,0.009739425154040984,-0.0085,0.002235536582547007,-0.012881651701792134,-0.004118348298207867
underestimated_bias,0.7,0.15,5,120,boundary,2000,0.255009061953464,0.002209646215753517,0.25067815537058713,0.2593399685363409,0.379625,0.003476938198633757,0.3728102011306778,0.38643979886932217,0.16097824576565956,0.0008468204042682832,0.15931847777329372,0.1626380137580254,0.7933125,0.001367129087850311,0.7906329269878134,0.7959920730121866,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.26603011191000814,0.00011132603672276648,0.2658119128780315,0.26624831094198476,0.019008620689655163,6.575307632530953e-20,0.019008620689655163,0.019008620689655163,-0.008684714617727032,0.0015744213979010627,-0.011770580557613115,-0.00559884867784095,0.0095,0.002450459625496428,0.004697099134027001,0.014302900865972999,0.0018868691191244714,0.0008775434490753012,0.00016688395893688112,0.003606854279312062,-0.001625,0.0013403182136929193,-0.004252023698838122,0.001002023698838122
underestimated_bias,0.7,0.15,5,120,bias_blind_kg,2000,0.2528424746032281,0.002181471600766371,0.24856679026572603,0.2571181589407302,0.3818125,0.0034349819100304036,0.3750799354563404,0.3885450645436596,0.19382020996046107,0.0010673944000536909,0.19172811693635583,0.1959123029845663,0.7133125,0.0014605603514216974,0.7104498017112135,0.7161751982887865,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.2433978127777596,0.0001250795908422294,0.24315265677970882,0.24364296877581038,0.0,0.0,0.0,0.0,-0.010851301967962884,0.0015480803408239655,-0.013885539435977857,-0.007817064499947911,0.0116875,0.002401377881496344,0.006980799352267166,0.016394200647732834,-0.0002797182311113808,0.0004255661809704363,-0.0011138279458134358,0.0005543914835906743,0.0005625,0.0006343396095508482,-0.0006808056347196624,0.0018058056347196624
underestimated_bias,0.7,0.15,5,120,ordinary_kg,2000,0.25312219283433957,0.0021760703818632767,0.24885709488588753,0.2573872907827916,0.38125,0.003439496157420219,0.3745085875314563,0.38799141246854363,0.16925107005350407,0.0008946938836778929,0.1674974700414954,0.17100467006551273,0.7677999999999999,0.001447455548119489,0.7649629871256858,0.7706370128743141,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.2565070347880471,0.00010801549227163375,0.2562953244231947,0.2567187451528995,0.01900862068965517,8.00244322343287e-20,0.01900862068965517,0.01900862068965517,-0.0105715837368515,0.0015344835563350235,-0.013579171507268147,-0.0075639959664348545,0.011125,0.0023937511796038717,0.0064332476879764115,0.015816752312023587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
underestimated_bias,0.7,0.15,5,120,two_channel_uniform,2000,0.24465919707539102,0.002090032923345546,0.24056273254563376,0.24875566160514828,0.39425,0.0034278683450061713,0.3875313780437879,0.4009686219562121,0.12145678054597804,0.0006185638279356865,0.1202443954432241,0.12266916564873198,0.8700125,0.0011909777016459668,0.8676781837047739,0.872346816295226,120.0,0.0,120.0,120.0,0.8166666666666668,0.001031034197181587,0.8146458396401909,0.8186874936931426,22.0,0.12372410366179039,21.75750075682289,22.24249924317711,19.6,0.02474482073235808,19.55150015136458,19.648499848635424,0.27002919039994483,5.376550723667963e-05,0.26992381000576093,0.2701345707941287,0.01848788574146845,6.515689090929371e-07,0.01848660866640663,0.018489162816530274,-0.019034579495800036,0.0019639646161740258,-0.022883950143501128,-0.015185208848098946,0.024125,0.00308772921794669,0.01807305073282449,0.030176949267175512,-0.00846299575894853,0.00201351868533089,-0.012409492382197074,-0.004516499135699986,0.013,0.0032534374018050095,0.006623262692462181,0.01937673730753782
underestimated_bias,0.7,0.15,5,120,balanced_mix,2000,0.25418257381885445,0.0021602372961128584,0.24994850871847324,0.25841663891923566,0.3815,0.003484421845557581,0.37467053318270716,0.38832946681729286,0.15054014051907708,0.0007836873885901187,0.14900411323744045,0.1520761678007137,0.80225,0.001422161214933325,0.7994625640187307,0.8050374359812693,120.0,0.0,120.0,120.0,0.49083333333333334,0.0017708103437482094,0.48736254505958687,0.4943041216070798,61.1,0.2124972412497851,60.68350540715042,61.51649459284958,11.78,0.04249944824995702,11.696701081430083,11.863298918569916,0.25590871027068046,7.09841819244897e-05,0.2557695812741085,0.25604783926725244,0.018692407105642937,1.1239602919135731e-06,0.018690204143470786,0.018694610067815087,-0.00951120275233659,0.0017891834694214023,-0.013018002352402538,-0.0060044031522706424,0.011375,0.0027388967606013586,0.006006762349221337,0.01674323765077866,0.0010603809845149122,0.001806581036401878,-0.0024805178468327686,0.004601279815862593,0.00025,0.0028166687880421377,-0.005270670824562589,0.0057706708245625895
underestimated_bias,0.7,0.15,5,120,validation_only,2000,0.236593118076122,0.0020729817307139162,0.23253007388392272,0.24065616226832126,0.40525,0.003498011834370589,0.39839389680463366,0.41210610319536634,0.10567163421017975,0.0005401575679424462,0.10461292537701256,0.10673034304334694,0.9100499999999999,0.0009875722249282452,0.9081143584391406,0.9119856415608593,120.0,0.0,120.0,120.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,24.0,24.0,0.2798399444184979,1.2002650279092704e-05,0.2798164192239509,0.2798634696130449,0.01837449120650715,1.5671372063398013e-07,0.01837418404761471,0.018374798365399594,-0.027100658495069055,0.002127841633689925,-0.03127122809710131,-0.022930088893036802,0.035125,0.0034035601652386283,0.02845402207613229,0.041795977923867716,-0.016529074758217552,0.0021318914966056966,-0.020707582091564716,-0.012350567424870387,0.024,0.0034718819798836946,0.01719511131942796,0.030804888680572042
underestimated_bias,0.7,0.15,5,120,two_channel_kg,2000,0.23123455099694853,0.002120338495206693,0.22707868754634342,0.23539041444755365,0.408625,0.0035349137181828775,0.40169656911236157,0.41555343088763846,0.14409397309975888,0.0007311054855821962,0.1426610063480178,0.14552693985149998,0.819325,0.0013211339390623764,0.8167355774794377,0.8219144225205622,120.0,0.0,120.0,120.0,0.4520416666666667,0.0021339317827100196,0.447859160372555,0.45622417296077833,65.755,0.25607181392520234,65.2530992447066,66.25690075529339,10.849,0.051214362785040476,10.74861984894132,10.94938015105868,0.2667771948691589,8.701226672203515e-05,0.26660665082638374,0.2669477389119341,0.01873329593295165,1.2399241369076113e-06,0.01873086568164331,0.01873572618425999,-0.03245922557424251,0.0015344409434192993,-0.03546672982334433,-0.029451721325140682,0.0385,0.0023593104231610595,0.03387575157060432,0.043124248429395676,-0.021887641837391007,0.0012875047445613265,-0.024411151136731205,-0.019364132538050808,0.027375,0.0019551287557922786,0.023542947638647133,0.031207052361352867
